time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/05/16:34:48.263128,0,77688,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:34:49.298782,0,77689,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:34:50.264237,0,77690,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:34:51.263304,0,77691,0,GPS1_FRAME,42.33700180053711,-71.0903549194336,1.2000000476837158,0.0,4689310.5,327794.59375,0.0,19,T
2023/02/05/16:34:52.263765,0,77692,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:34:53.262614,0,77693,0,GPS1_FRAME,42.33700180053711,-71.0903549194336,1.2000000476837158,0.0,4689310.5,327794.59375,0.0,19,T
2023/02/05/16:34:54.262832,0,77694,0,GPS1_FRAME,42.33700180053711,-71.0903549194336,1.2000000476837158,0.0,4689310.5,327794.59375,0.0,19,T
2023/02/05/16:34:55.263534,0,77695,0,GPS1_FRAME,42.33700180053711,-71.0903549194336,1.2000000476837158,0.0,4689310.5,327794.59375,0.0,19,T
2023/02/05/16:34:56.264154,0,77696,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:34:57.263431,0,77697,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:34:58.263470,0,77698,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:34:59.263427,0,77699,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:35:00.264051,0,77700,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:35:01.264892,0,77701,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.59375,0.0,19,T
2023/02/05/16:35:02.264719,0,77702,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:03.263978,0,77703,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:04.262671,0,77704,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:05.263761,0,77705,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:06.262840,0,77706,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:07.263253,0,77707,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:08.263509,0,77708,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:09.262278,0,77709,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:10.263824,0,77710,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:11.263452,0,77711,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:12.265086,0,77712,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:13.264385,0,77713,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:14.264143,0,77714,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:15.263230,0,77715,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:16.263107,0,77716,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
2023/02/05/16:35:17.263824,0,77717,0,GPS1_FRAME,42.337005615234375,-71.0903549194336,1.2000000476837158,0.0,4689311.0,327794.75,0.0,19,T
